,experiment_ID,biopsy_id,biomaterial_id,mg/biopsy mean,mg/biopsy std,mg/ml mean,mg/ml std,mg/cm2 mean,mg/cm2 std,net weight mg,tissue areal density mg/cm2
0,HP16-20231023,230928-1-1,,,,0.4721603855946731,,,,,
1,HP16-20231023,230928-1-2,,,,0.4693968274040692,,,,,
2,HP16-20231023,230928-1-3,,,,0.38556889562242047,,,,,
3,HP16-20231023,230928-1-4,,,,0.3966231283848357,,,,,
4,HP16-20231023,230928-2-1,,,,0.3883324538130244,,,,,
5,HP16-20231023,230928-2-2,,,,0.3809629653047475,,,,,
6,HP16-20231023,230928-2-3,,,,0.36253924403405546,,,,,
7,HP16-20231023,230928-2-4,,,,0.3781994071141437,,,,,
8,HP16-20231023,230928-3-1,,,,0.3662239882881938,,,,,
9,HP16-20231023,230928-3-2,,,,0.42794345454501215,,,,,
10,HP16-20231023,230928-3-3,,,,0.38741126774948975,,,,,
11,HP16-20231023,230928-3-4,,,,0.37451466286000534,,,,,
12,HP16-20231023,TGFBS231012,,,,0.14237577484928565,,,,,
