,ID,experiment_ID,sample_ID,sample_type,pilot_batch,tissue,hide_ID,hide_replicate,avg loaded weight mg,avg empty weight mg,net weight mg,operator,ug/well,media_type,scaffold_type,date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,normalized_abs,r_squared
0,34,HP2,S5,standard,,,,,,,,VA,1,,,07-26-2023,500,100,1000,20,0.83,Plate2,A7,0.76,0.98237026423014
1,34,HP2,S5,standard,,,,,,,,VA,1,,,07-26-2023,500,100,1000,20,0.82,Plate2,B7,0.75,0.98237026423014
2,33,HP2,S4,standard,,,,,,,,VA,0.8,,,07-26-2023,500,100,1000,20,0.72,Plate2,A8,0.6499999999999999,0.98237026423014
3,33,HP2,S4,standard,,,,,,,,VA,0.8,,,07-26-2023,500,100,1000,20,0.706,Plate2,B8,0.6359999999999999,0.98237026423014
4,32,HP2,S3,standard,,,,,,,,VA,0.6,,,07-26-2023,500,100,1000,20,0.656,Plate2,A9,0.5860000000000001,0.98237026423014
5,32,HP2,S3,standard,,,,,,,,VA,0.6,,,07-26-2023,500,100,1000,20,0.564,Plate2,B9,0.49399999999999994,0.98237026423014
6,31,HP2,S2,standard,,,,,,,,VA,0.4,,,07-26-2023,500,100,1000,20,0.432,Plate2,A10,0.362,0.98237026423014
7,31,HP2,S2,standard,,,,,,,,VA,0.4,,,07-26-2023,500,100,1000,20,0.422,Plate2,B10,0.352,0.98237026423014
8,30,HP2,S1,standard,,,,,,,,VA,0.2,,,07-26-2023,500,100,1000,20,0.301,Plate2,A11,0.23099999999999998,0.98237026423014
9,30,HP2,S1,standard,,,,,,,,VA,0.2,,,07-26-2023,500,100,1000,20,0.265,Plate2,B11,0.195,0.98237026423014
10,29,HP2,S0,standard,,,,,,,,VA,0,,,07-26-2023,500,100,1000,20,0.096,Plate2,A12,0.025999999999999995,0.98237026423014
11,29,HP2,S0,standard,,,,,,,,VA,0,,,07-26-2023,500,100,1000,20,0.096,Plate2,B12,0.025999999999999995,0.98237026423014
